seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,agent_batch_size,effective_pre_weight_sum,selected_knn_k,auc_2pl,rmse_2pl
2,bernoulli,54,none,1.0,1.0,sae,none,,54,32.0,50,0.5550064045242525,0.4494694051938684
3,bernoulli,54,none,1.0,1.0,sae,none,,54,32.0,50,0.5525969419924337,0.4537691766191317
1,bernoulli,54,none,1.0,1.0,sae,none,,54,32.0,50,0.562045380922932,0.4787251227964618
7,bernoulli,54,none,1.0,1.0,sae,none,,54,32.0,50,0.5554831160147109,0.4468948459886718
5,bernoulli,54,none,1.0,1.0,sae,none,,54,32.0,50,0.5667277416919617,0.464793947901899
0,bernoulli,54,none,1.0,1.0,sae,none,,54,32.0,50,0.5411794773496902,0.4819928628484111
8,bernoulli,54,none,1.0,1.0,sae,none,,54,32.0,50,0.5486783970234866,0.4657408288604569
10,bernoulli,54,none,1.0,1.0,sae,none,,54,32.0,50,0.5754068994741607,0.4569179851020846
39,bernoulli,54,none,1.0,1.0,sae,none,,54,32.0,10,0.538698036028103,0.4774222982058602
35,bernoulli,54,none,1.0,1.0,sae,none,,54,32.0,50,0.5894998287084618,0.4603653444048733
27,bernoulli,54,none,1.0,1.0,sae,none,,54,32.0,50,0.5479012756253414,0.4565648853936829
11,bernoulli,54,none,1.0,1.0,sae,none,,54,32.0,20,0.5507149805074945,0.4602908431459856
15,bernoulli,54,none,1.0,1.0,sae,none,,54,32.0,50,0.555454302447085,0.4589840828103292
22,bernoulli,54,none,1.0,1.0,sae,none,,54,32.0,20,0.5442706988751613,0.4850238945079274
30,bernoulli,54,none,1.0,1.0,sae,none,,54,32.0,50,0.5708524659863946,0.4505730324936366
23,bernoulli,54,none,1.0,1.0,sae,none,,54,32.0,50,0.5728753055103663,0.4804067028889437
31,bernoulli,54,none,1.0,1.0,sae,none,,54,32.0,50,0.5913514723995072,0.4252590862314873
43,bernoulli,54,none,1.0,1.0,sae,none,,54,32.0,50,0.5378086668601714,0.4905652301365834
26,bernoulli,54,none,1.0,1.0,sae,none,,54,32.0,50,0.5646098981541549,0.4805647126175529
19,bernoulli,54,none,1.0,1.0,sae,none,,54,32.0,50,0.5995690105279147,0.4290891642943253
42,bernoulli,54,none,1.0,1.0,sae,none,,54,32.0,50,0.5601376770991756,0.4523820541318823
47,bernoulli,54,none,1.0,1.0,sae,none,,54,32.0,20,0.6199621231956153,0.4130707866514541
9,bernoulli,54,none,1.0,1.0,sae,none,,54,32.0,20,0.5950492728495099,0.4420292095839763
18,bernoulli,54,none,1.0,1.0,sae,none,,54,32.0,50,0.6136116537840822,0.4399389336756787
14,bernoulli,54,none,1.0,1.0,sae,none,,54,32.0,50,0.5839063106586722,0.4368739928696447
38,bernoulli,54,none,1.0,1.0,sae,none,,54,32.0,50,0.5434152365297251,0.4674218754080572
36,bernoulli,54,none,1.0,1.0,sae,none,,54,32.0,50,0.5655144846817765,0.4659195000633928
34,bernoulli,54,none,1.0,1.0,sae,none,,54,32.0,50,0.5971094123268035,0.4355502620274519
46,bernoulli,54,none,1.0,1.0,sae,none,,54,32.0,50,0.5971634843735156,0.4524344905042304
6,bernoulli,54,none,1.0,1.0,sae,none,,54,32.0,50,0.5235920852359208,0.4855474004029111
21,bernoulli,54,none,1.0,1.0,sae,none,,54,32.0,50,0.5563977389516958,0.4347113219808385
4,bernoulli,54,none,1.0,1.0,sae,none,,54,32.0,50,0.581667890809192,0.4602806130505258
29,bernoulli,54,none,1.0,1.0,sae,none,,54,32.0,20,0.5548059057315925,0.4622129960987971
49,bernoulli,54,none,1.0,1.0,sae,none,,54,32.0,50,0.5783256214192438,0.4551441815940667
48,bernoulli,54,none,1.0,1.0,sae,none,,54,32.0,50,0.6161072350711421,0.4191654933864991
37,bernoulli,54,none,1.0,1.0,sae,none,,54,32.0,20,0.5685253674015949,0.4686043990026401
41,bernoulli,54,none,1.0,1.0,sae,none,,54,32.0,50,0.6126249759780032,0.4130522621803504
25,bernoulli,54,none,1.0,1.0,sae,none,,54,32.0,50,0.5531632852904695,0.4914413579095367
12,bernoulli,54,none,1.0,1.0,sae,none,,54,32.0,20,0.5755871347822625,0.4542586680358393
45,bernoulli,54,none,1.0,1.0,sae,none,,54,32.0,50,0.5375123018042647,0.4880526198135593
13,bernoulli,54,none,1.0,1.0,sae,none,,54,32.0,10,0.5421295597212934,0.4843674013095537
16,bernoulli,54,none,1.0,1.0,sae,none,,54,32.0,10,0.5408296586640535,0.4803461523186431
33,bernoulli,54,none,1.0,1.0,sae,none,,54,32.0,20,0.5569531359727836,0.4679755966628199
17,bernoulli,54,none,1.0,1.0,sae,none,,54,32.0,50,0.5423051828554221,0.4567831458241406
20,bernoulli,54,none,1.0,1.0,sae,none,,54,32.0,50,0.5511689493265747,0.4507310373249676
44,bernoulli,54,none,1.0,1.0,sae,none,,54,32.0,20,0.6076227988878592,0.4254413963263861
24,bernoulli,54,none,1.0,1.0,sae,none,,54,32.0,50,0.5046710018883481,0.513872926767705
32,bernoulli,54,none,1.0,1.0,sae,none,,54,32.0,50,0.5564465010141988,0.4335013626235612
28,bernoulli,54,none,1.0,1.0,sae,none,,54,32.0,50,0.5320593937976088,0.4920800712449331
40,bernoulli,54,none,1.0,1.0,sae,none,,54,32.0,50,0.5727487742329821,0.4381255548177082
