seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,agent_batch_size,auc_knn,rmse_knn
0,bernoulli,1,max,1.0,1.0,pca,max,0.7683690659601733,0.3833407630234959
32,bernoulli,1,max,1.0,1.0,pca,max,0.6858241887311655,0.3648157627717256
4,bernoulli,1,max,1.0,1.0,pca,max,0.7195335481159826,0.3778713092516454
12,bernoulli,1,max,1.0,1.0,pca,max,0.7051987281399046,0.374167193084607
8,bernoulli,1,max,1.0,1.0,pca,max,0.7190664545197698,0.3793129655310627
28,bernoulli,1,max,1.0,1.0,pca,max,0.7252030217186025,0.4065380359124058
16,bernoulli,1,max,1.0,1.0,pca,max,0.7277770083102493,0.3877326121031734
20,bernoulli,1,max,1.0,1.0,pca,max,0.8098976003947937,0.3516930973352594
24,bernoulli,1,max,1.0,1.0,pca,max,0.747734337637494,0.4199521430883671
36,bernoulli,1,max,1.0,1.0,pca,max,0.7483463708548784,0.3759255709067483
48,bernoulli,1,max,1.0,1.0,pca,max,0.7561354515359434,0.3450683541930141
44,bernoulli,1,max,1.0,1.0,pca,max,0.7160106535106535,0.3535513148548912
40,bernoulli,1,max,1.0,1.0,pca,max,0.7588894110275689,0.3503380539325319
1,bernoulli,1,max,1.0,1.0,pca,max,0.7068476183735579,0.3910238899630303
13,bernoulli,1,max,1.0,1.0,pca,max,0.7344348989216469,0.3885949791987373
31,bernoulli,1,max,1.0,1.0,pca,max,0.7559330299089727,0.3447138970401495
5,bernoulli,1,max,1.0,1.0,pca,max,0.6670785343394672,0.3931766142265232
30,bernoulli,1,max,1.0,1.0,pca,max,0.7222852558128228,0.362800587796163
14,bernoulli,1,max,1.0,1.0,pca,max,0.7968479288900793,0.3468135843808271
7,bernoulli,1,max,1.0,1.0,pca,max,0.7785284446430851,0.3513113926454556
17,bernoulli,1,max,1.0,1.0,pca,max,0.7273454845871844,0.3740232781392448
6,bernoulli,1,max,1.0,1.0,pca,max,0.7427716390423573,0.3917960732661951
9,bernoulli,1,max,1.0,1.0,pca,max,0.7080869932432432,0.3666729263652765
21,bernoulli,1,max,1.0,1.0,pca,max,0.7086465679816063,0.3588596463534801
3,bernoulli,1,max,1.0,1.0,pca,max,0.7210242587601079,0.3766006244655259
49,bernoulli,1,max,1.0,1.0,pca,max,0.7314734848484847,0.3701678721969213
25,bernoulli,1,max,1.0,1.0,pca,max,0.8222255518929178,0.3791130131009741
10,bernoulli,1,max,1.0,1.0,pca,max,0.7678104575163398,0.3689824931209599
41,bernoulli,1,max,1.0,1.0,pca,max,0.7380825223514519,0.3441120755047605
15,bernoulli,1,max,1.0,1.0,pca,max,0.8227615884040466,0.3587089876996163
26,bernoulli,1,max,1.0,1.0,pca,max,0.7189542263937823,0.3940618763373429
39,bernoulli,1,max,1.0,1.0,pca,max,0.7579096162640835,0.3838748399230464
18,bernoulli,1,max,1.0,1.0,pca,max,0.7526291723822588,0.356884161034898
29,bernoulli,1,max,1.0,1.0,pca,max,0.7173441008938265,0.3853566041317889
2,bernoulli,1,max,1.0,1.0,pca,max,0.8027086499493414,0.3542226181525805
43,bernoulli,1,max,1.0,1.0,pca,max,0.7707643405285347,0.3905916390478321
34,bernoulli,1,max,1.0,1.0,pca,max,0.7325898738942217,0.3590940745774418
23,bernoulli,1,max,1.0,1.0,pca,max,0.7781876451862686,0.3802021518187354
46,bernoulli,1,max,1.0,1.0,pca,max,0.765185606060606,0.3676720323916098
22,bernoulli,1,max,1.0,1.0,pca,max,0.7832041500141294,0.3847303810050199
45,bernoulli,1,max,1.0,1.0,pca,max,0.68937575030012,0.4037089657377786
37,bernoulli,1,max,1.0,1.0,pca,max,0.7328655882544013,0.3820968088015267
11,bernoulli,1,max,1.0,1.0,pca,max,0.7237923150674829,0.3816514996606486
33,bernoulli,1,max,1.0,1.0,pca,max,0.7027648109727985,0.3913352993372045
47,bernoulli,1,max,1.0,1.0,pca,max,0.7385730582755017,0.3431716084396966
27,bernoulli,1,max,1.0,1.0,pca,max,0.7343118911855547,0.3753206154027693
19,bernoulli,1,max,1.0,1.0,pca,max,0.7533871992096536,0.3487514967014641
42,bernoulli,1,max,1.0,1.0,pca,max,0.783980657520702,0.3605241853098364
35,bernoulli,1,max,1.0,1.0,pca,max,0.7931172202622645,0.3644924481960971
38,bernoulli,1,max,1.0,1.0,pca,max,0.6623484489743763,0.39064727719680115
