seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,agent_batch_size,effective_pre_weight_sum,selected_knn_k,auc_rasch,rmse_rasch,knn_selection_version
1,bernoulli,54,none,0.3,1.0,pca,none,,54,29.0,50,0.6263661202185793,0.4481825446047867,2.0
2,bernoulli,54,none,0.3,1.0,pca,none,,54,30.0,50,0.5343992248062015,0.4853964310904655,2.0
3,bernoulli,54,none,0.3,1.0,pca,none,,54,29.0,20,0.5365190365190365,0.4949449168007339,2.0
5,bernoulli,54,none,0.3,1.0,pca,none,,54,29.0,50,0.6690867003367003,0.4455126429742868,2.0
7,bernoulli,54,none,0.3,1.0,pca,none,,54,29.0,10,0.5545343137254901,0.4595951480534256,2.0
0,bernoulli,54,none,0.3,1.0,pca,none,,54,29.0,50,0.6039766081871346,0.4947083419775814,2.0
22,bernoulli,54,none,0.3,1.0,pca,none,,54,29.0,50,0.5918937805730259,0.4391251760254943,2.0
9,bernoulli,54,none,0.3,1.0,pca,none,,54,30.0,10,0.5984094220495386,0.4709571058195501,2.0
4,bernoulli,54,none,0.3,1.0,pca,none,,54,29.0,50,0.5509876423080666,0.5170522069156663,2.0
16,bernoulli,54,none,0.3,1.0,pca,none,,54,29.0,50,0.5529555220067356,0.4955716577281052,2.0
8,bernoulli,54,none,0.3,1.0,pca,none,,54,29.0,50,0.5124016938898972,0.4886987046058523,2.0
10,bernoulli,54,none,0.3,1.0,pca,none,,54,29.0,50,0.5626459493443506,0.4595409346632985,2.0
6,bernoulli,54,none,0.3,1.0,pca,none,,54,29.0,50,0.5652810304449649,0.4866704540263172,2.0
46,bernoulli,54,none,0.3,1.0,pca,none,,54,29.0,50,0.5569317687961756,0.4488253985953793,2.0
13,bernoulli,54,none,0.3,1.0,pca,none,,54,29.0,50,0.7542046605876394,0.3395387003924272,2.0
26,bernoulli,54,none,0.3,1.0,pca,none,,54,29.0,50,0.5807591358772461,0.4773622431193018,2.0
30,bernoulli,54,none,0.3,1.0,pca,none,,54,29.0,50,0.5672676837725382,0.4158177868008002,2.0
33,bernoulli,54,none,0.3,1.0,pca,none,,54,29.0,20,0.6164167701270175,0.4260279264620536,2.0
14,bernoulli,54,none,0.3,1.0,pca,none,,54,29.0,50,0.5043095543737393,0.4584325029273745,2.0
18,bernoulli,54,none,0.3,1.0,pca,none,,54,29.0,50,0.530323005932762,0.4795511058028979,2.0
34,bernoulli,54,none,0.3,1.0,pca,none,,54,30.0,50,0.6094703441542593,0.4119450752373225,2.0
38,bernoulli,54,none,0.3,1.0,pca,none,,54,30.0,10,0.6365669555493431,0.3698085212448356,2.0
36,bernoulli,54,none,0.3,1.0,pca,none,,54,29.0,50,0.5733866362078812,0.482611846585518,2.0
47,bernoulli,54,none,0.3,1.0,pca,none,,54,29.0,20,0.5038900414937759,0.4560174048661721,2.0
42,bernoulli,54,none,0.3,1.0,pca,none,,54,29.0,20,0.5341733486063384,0.464864890635631,2.0
12,bernoulli,54,none,0.3,1.0,pca,none,,54,29.0,50,0.4872949872949872,0.5368501904831454,2.0
31,bernoulli,54,none,0.3,1.0,pca,none,,54,29.0,50,0.6048339843750001,0.4631363260889384,2.0
45,bernoulli,54,none,0.3,1.0,pca,none,,54,29.0,5,0.5516744186046512,0.4943989617464126,2.0
21,bernoulli,54,none,0.3,1.0,pca,none,,54,29.0,50,0.5142976196676909,0.4767346618357417,2.0
48,bernoulli,54,none,0.3,1.0,pca,none,,54,29.0,20,0.647451963241437,0.3945786287167589,2.0
27,bernoulli,54,none,0.3,1.0,pca,none,,54,29.0,50,0.6274169116991891,0.4753262635344387,2.0
32,bernoulli,54,none,0.3,1.0,pca,none,,54,29.0,20,0.6369114877589455,0.4097987297075187,2.0
44,bernoulli,54,none,0.3,1.0,pca,none,,54,29.0,5,0.5877796901893287,0.4602780716782632,2.0
35,bernoulli,54,none,0.3,1.0,pca,none,,54,30.0,5,0.5488499452354875,0.5226375958544991,2.0
19,bernoulli,54,none,0.3,1.0,pca,none,,54,29.0,50,0.6957401371248736,0.3912521477722595,2.0
15,bernoulli,54,none,0.3,1.0,pca,none,,54,31.0,20,0.5235066716548198,0.4689533269500018,2.0
24,bernoulli,54,none,0.3,1.0,pca,none,,54,29.0,50,0.6390763052208835,0.5067326140881733,2.0
11,bernoulli,54,none,0.3,1.0,pca,none,,54,29.0,50,0.7250928740290442,0.3631670782688838,2.0
41,bernoulli,54,none,0.3,1.0,pca,none,,54,30.0,20,0.471595655806182,0.566998402413299,2.0
28,bernoulli,54,none,0.3,1.0,pca,none,,54,29.0,50,0.5897645186303718,0.5332167068260766,2.0
39,bernoulli,54,none,0.3,1.0,pca,none,,54,29.0,10,0.6732531500572738,0.3734061623037741,2.0
43,bernoulli,54,none,0.3,1.0,pca,none,,54,31.0,50,0.5334314914256019,0.4115970373760235,2.0
40,bernoulli,54,none,0.3,1.0,pca,none,,54,29.0,50,0.483016304347826,0.5543299583793769,2.0
23,bernoulli,54,none,0.3,1.0,pca,none,,54,30.0,50,0.5138854905798874,0.4766884465371369,2.0
20,bernoulli,54,none,0.3,1.0,pca,none,,54,30.0,20,0.5181273314053397,0.5428524578894396,2.0
49,bernoulli,54,none,0.3,1.0,pca,none,,54,29.0,20,0.6581970835174548,0.3974652114375937,2.0
25,bernoulli,54,none,0.3,1.0,pca,none,,54,31.0,20,0.6264361702127659,0.3992128868195037,2.0
29,bernoulli,54,none,0.3,1.0,pca,none,,54,29.0,20,0.6135449385573373,0.4439066395527931,2.0
37,bernoulli,54,none,0.3,1.0,pca,none,,54,30.0,20,0.5988051470588235,0.4520906283702676,2.0
17,bernoulli,54,none,0.3,1.0,pca,none,,54,29.0,50,0.6838129496402877,0.3974180268689459,2.0
