seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,agent_batch_size,effective_pre_weight_sum,selected_knn_k,auc_naive,rmse_naive
3,beta,54,none,1.0,1.0,raw,none,,54,8.0,50,0.5,0.2640434613785126
2,beta,54,none,1.0,1.0,raw,none,,54,8.0,50,0.5,0.2811385834729553
5,beta,54,none,1.0,1.0,raw,none,,54,6.0,50,0.5,0.4722317136795496
6,beta,54,none,1.0,1.0,raw,none,,54,8.0,20,0.5,0.2720421474581272
4,beta,54,none,1.0,1.0,raw,none,,54,8.0,50,0.5,0.3169070977539243
0,beta,54,none,1.0,1.0,raw,none,,54,6.0,50,0.5,0.3666684967053145
8,beta,54,none,1.0,1.0,raw,none,,54,7.0,20,0.5,0.3611079808348102
14,beta,54,none,1.0,1.0,raw,none,,54,7.0,50,0.5,0.2461862314626876
19,beta,54,none,1.0,1.0,raw,none,,54,7.0,50,0.5,0.5137169531707184
43,beta,54,none,1.0,1.0,raw,none,,54,7.0,20,0.5,0.2707085811180737
27,beta,54,none,1.0,1.0,raw,none,,54,5.0,50,0.5,0.3461077633468415
22,beta,54,none,1.0,1.0,raw,none,,54,8.0,50,0.5,0.2793538628973229
34,beta,54,none,1.0,1.0,raw,none,,54,7.0,50,0.5,0.3455624267128204
46,beta,54,none,1.0,1.0,raw,none,,54,8.0,50,0.5,0.2627802714977085
38,beta,54,none,1.0,1.0,raw,none,,54,8.0,50,0.5,0.2603384170590438
18,beta,54,none,1.0,1.0,raw,none,,54,7.0,20,0.5,0.2246843461676164
44,beta,54,none,1.0,1.0,raw,none,,54,7.0,20,0.5,0.5149373468694449
26,beta,54,none,1.0,1.0,raw,none,,54,8.0,20,0.5,0.2871345586825613
42,beta,54,none,1.0,1.0,raw,none,,54,8.0,10,0.5,0.2431050271065244
11,beta,54,none,1.0,1.0,raw,none,,54,8.0,50,0.5,0.2633890825398315
30,beta,54,none,1.0,1.0,raw,none,,54,7.0,20,0.5,0.2668589652379
7,beta,54,none,1.0,1.0,raw,none,,54,8.0,50,0.5,0.280647798729315
35,beta,54,none,1.0,1.0,raw,none,,54,7.0,10,0.5,0.283314360773425
10,beta,54,none,1.0,1.0,raw,none,,54,8.0,10,0.5,0.2457820416878513
45,beta,54,none,1.0,1.0,raw,none,,54,8.0,50,0.5,0.2528734770656855
47,beta,54,none,1.0,1.0,raw,none,,54,8.0,5,0.5,0.3033561351327057
31,beta,54,none,1.0,1.0,raw,none,,54,7.0,50,0.5,0.2502372777974728
39,beta,54,none,1.0,1.0,raw,none,,54,8.0,50,0.5,0.2532462565483361
48,beta,54,none,1.0,1.0,raw,none,,54,7.0,50,0.5,0.4935546687812636
15,beta,54,none,1.0,1.0,raw,none,,54,8.0,50,0.5,0.2617502051282514
23,beta,54,none,1.0,1.0,raw,none,,54,7.0,50,0.5,0.2717001489740314
28,beta,54,none,1.0,1.0,raw,none,,54,6.0,50,0.5,0.3881953591537087
32,beta,54,none,1.0,1.0,raw,none,,54,7.0,20,0.5,0.483993426123616
12,beta,54,none,1.0,1.0,raw,none,,54,7.0,50,0.5,0.2524848325111318
16,beta,54,none,1.0,1.0,raw,none,,54,8.0,5,0.5,0.2578964674645221
24,beta,54,none,1.0,1.0,raw,none,,54,7.0,50,0.5,0.2782336719242916
1,beta,54,none,1.0,1.0,raw,none,,54,6.0,50,0.5,0.3597482111689541
41,beta,54,none,1.0,1.0,raw,none,,54,7.0,5,0.5,0.2177562792394921
40,beta,54,none,1.0,1.0,raw,none,,54,8.0,50,0.5,0.2546301572405682
9,beta,54,none,1.0,1.0,raw,none,,54,6.0,50,0.5,0.3819983641779161
20,beta,54,none,1.0,1.0,raw,none,,54,8.0,50,0.5,0.2318253997618899
36,beta,54,none,1.0,1.0,raw,none,,54,8.0,10,0.5,0.3308680297908576
49,beta,54,none,1.0,1.0,raw,none,,54,8.0,20,0.5,0.2731517933987227
29,beta,54,none,1.0,1.0,raw,none,,54,7.0,20,0.5,0.2919962318165842
33,beta,54,none,1.0,1.0,raw,none,,54,8.0,20,0.5,0.264791063114942
25,beta,54,none,1.0,1.0,raw,none,,54,8.0,20,0.5,0.2962910530762767
13,beta,54,none,1.0,1.0,raw,none,,54,7.0,50,0.5,0.2527314664976984
17,beta,54,none,1.0,1.0,raw,none,,54,7.0,20,0.5,0.2679381211240032
37,beta,54,none,1.0,1.0,raw,none,,54,8.0,50,0.5,0.2502989322876189
21,beta,54,none,1.0,1.0,raw,none,,54,8.0,50,0.5,0.2838226382509848
