n_samples,model_type,seed,lambda_tau,araf_latent_dim,araf_dropout,embedding_protocol,embedding_fit_scope,embedding_fit_item_count,pre_population_match,pre_population_match_version,effective_pre_weight_sum,observed_train_pairs,train_item_count,test_item_count,train_observed_count,test_observed_count,rmse_amortized,auc_amortized,active_dims,active_indices,tau_values,embedding_type,user_count,baseline_embedding_type,baseline_profile,cross_revision_araf_mode,cross_revision_post_binary,data_source,epochs,j_percentage,kind,knn_k,knn_k_grid,no_tau,pre_revision,seeds,train_retention,artifact_path,config_path,scenario
1,bernoulli,0,0.0155,10,0.0,train_items_only_refit_v1,train_items_only,1057,none,,32.0,8321,1057,116,8321,1170,0.4082216139991304,0.6996397993738419,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0.03876616060733795, 0.03952254354953766, 0.03925275430083275, 0.03907866030931473, 0.0417201854288578, 0.04172476381063461, 0.040216781198978424, 0.0394965298473835, 0.038852445781230927, 0.04172945022583008]",pca,35,raw,full,transfer,false,local,1000,1.0,default_response_matrix_araf,10,"5,10,20,50",false,false,"0,1,2",1.0,model/result/default_araf_flat/araf/araf_pca_bernoulli_pre-false_n-1_k-10_d-0p0_ce31b6ccd2a5.csv,model/result/default_araf_flat/araf/araf_pca_bernoulli_pre-false_n-1_k-10_d-0p0_ce31b6ccd2a5.csv.config.json,
1,bernoulli,1,0.0155,10,0.0,train_items_only_refit_v1,train_items_only,1057,none,,32.0,8301,1057,116,8301,1218,0.4177026525509105,0.6601400300379893,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0.04937674105167389, 0.048774249851703644, 0.04809751734137535, 0.049334172159433365, 0.04809412360191345, 0.049153078347444534, 0.04948551952838898, 0.05193997174501419, 0.04827059805393219, 0.050048258155584335]",pca,35,raw,full,transfer,false,local,1000,1.0,default_response_matrix_araf,10,"5,10,20,50",false,false,"0,1,2",1.0,model/result/default_araf_flat/araf/araf_pca_bernoulli_pre-false_n-1_k-10_d-0p0_ce31b6ccd2a5.csv,model/result/default_araf_flat/araf/araf_pca_bernoulli_pre-false_n-1_k-10_d-0p0_ce31b6ccd2a5.csv.config.json,
1,bernoulli,2,0.0155,10,0.0,train_items_only_refit_v1,train_items_only,1056,none,,32.0,8304,1056,117,8304,1223,0.3933045797055197,0.6911166429014509,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0.04192601144313812, 0.04477797821164131, 0.04155109077692032, 0.04138572886586189, 0.04114246740937233, 0.04301387071609497, 0.042852435261011124, 0.040892597287893295, 0.040967751294374466, 0.04217330366373062]",pca,35,raw,full,transfer,false,local,1000,1.0,default_response_matrix_araf,10,"5,10,20,50",false,false,"0,1,2",1.0,model/result/default_araf_flat/araf/araf_pca_bernoulli_pre-false_n-1_k-10_d-0p0_ce31b6ccd2a5.csv,model/result/default_araf_flat/araf/araf_pca_bernoulli_pre-false_n-1_k-10_d-0p0_ce31b6ccd2a5.csv.config.json,
1,bernoulli,1,0.0155,10,0.2,train_items_only_refit_v1,train_items_only,1057,none,,32.0,8301,1057,116,8301,1218,0.4177110180407821,0.6601142621550784,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0.04797283187508583, 0.047257792204618454, 0.04702077433466911, 0.048133816570043564, 0.047121450304985046, 0.04811711981892586, 0.047930266708135605, 0.050496701151132584, 0.04683997109532356, 0.04848945885896683]",pca,35,raw,full,transfer,false,local,1000,1.0,default_response_matrix_araf,10,"5,10,20,50",false,false,"0,1,2",1.0,model/result/default_araf_flat/araf/araf_pca_bernoulli_pre-false_n-1_k-10_d-0p2_d82d7d9e95e8.csv,model/result/default_araf_flat/araf/araf_pca_bernoulli_pre-false_n-1_k-10_d-0p2_d82d7d9e95e8.csv.config.json,
1,bernoulli,2,0.0155,10,0.2,train_items_only_refit_v1,train_items_only,1056,none,,32.0,8304,1056,117,8304,1223,0.3933188439316307,0.6911166429014509,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0.040888186544179916, 0.04282630234956741, 0.04123392701148987, 0.04001471772789955, 0.0396428182721138, 0.04122226685285568, 0.041080914437770844, 0.039366088807582855, 0.039890218526124954, 0.04212663322687149]",pca,35,raw,full,transfer,false,local,1000,1.0,default_response_matrix_araf,10,"5,10,20,50",false,false,"0,1,2",1.0,model/result/default_araf_flat/araf/araf_pca_bernoulli_pre-false_n-1_k-10_d-0p2_d82d7d9e95e8.csv,model/result/default_araf_flat/araf/araf_pca_bernoulli_pre-false_n-1_k-10_d-0p2_d82d7d9e95e8.csv.config.json,
1,bernoulli,0,0.0155,10,0.2,train_items_only_refit_v1,train_items_only,1057,none,,32.0,8321,1057,116,8321,1170,0.4082355395137051,0.699589882435627,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0.03780326247215271, 0.0383976548910141, 0.03807233273983002, 0.03779027238488197, 0.04020008072257042, 0.039445970207452774, 0.03835618123412132, 0.038266461342573166, 0.03795522451400757, 0.04173071309924126]",pca,35,raw,full,transfer,false,local,1000,1.0,default_response_matrix_araf,10,"5,10,20,50",false,false,"0,1,2",1.0,model/result/default_araf_flat/araf/araf_pca_bernoulli_pre-false_n-1_k-10_d-0p2_d82d7d9e95e8.csv,model/result/default_araf_flat/araf/araf_pca_bernoulli_pre-false_n-1_k-10_d-0p2_d82d7d9e95e8.csv.config.json,
1,bernoulli,42,0.0155,10,0.5,train_items_only_refit_v1,train_items_only,1057,none,,32.0,8307,1057,116,8307,1221,0.4536325308962208,0.6676098615224525,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0.5112662315368652, 0.5108079314231873, 0.5115311741828918, 0.5086467266082764, 0.5113261342048645, 0.5114411115646362, 0.5099729299545288, 0.5100290775299072, 0.5113584399223328, 0.5110321640968323]",pca,35,raw,full,transfer,false,local,50,1.0,default_response_matrix_araf,10,"5,10,20,50",false,false,42,1.0,model/result/default_araf_flat/araf/araf_pca_bernoulli_pre-false_n-1_k-10_d-0p5_27dae1c0b42f.csv,model/result/default_araf_flat/araf/araf_pca_bernoulli_pre-false_n-1_k-10_d-0p5_27dae1c0b42f.csv.config.json,
1,bernoulli,0,0.0155,10,0.5,train_items_only_refit_v1,train_items_only,1057,none,,32.0,8321,1057,116,8321,1170,0.4082565090188491,0.6994960385917833,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0.03459136560559273, 0.035705264657735825, 0.035403165966272354, 0.033902160823345184, 0.03710654750466347, 0.035382241010665894, 0.03530501946806908, 0.03514401614665985, 0.03540986776351929, 0.039085015654563904]",pca,35,raw,full,transfer,false,local,1000,1.0,default_response_matrix_araf,10,"5,10,20,50",false,false,"0,1,2",1.0,model/result/default_araf_flat/araf/araf_pca_bernoulli_pre-false_n-1_k-10_d-0p5_326a628fac56.csv,model/result/default_araf_flat/araf/araf_pca_bernoulli_pre-false_n-1_k-10_d-0p5_326a628fac56.csv.config.json,
1,bernoulli,1,0.0155,10,0.5,train_items_only_refit_v1,train_items_only,1057,none,,32.0,8301,1057,116,8301,1218,0.4177240742914639,0.6599486114792237,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0.04491982236504555, 0.043540097773075104, 0.04350956156849861, 0.04429879039525986, 0.04439115151762962, 0.04507580026984215, 0.04435168206691742, 0.04705696180462837, 0.04304295778274536, 0.045441146939992905]",pca,35,raw,full,transfer,false,local,1000,1.0,default_response_matrix_araf,10,"5,10,20,50",false,false,"0,1,2",1.0,model/result/default_araf_flat/araf/araf_pca_bernoulli_pre-false_n-1_k-10_d-0p5_326a628fac56.csv,model/result/default_araf_flat/araf/araf_pca_bernoulli_pre-false_n-1_k-10_d-0p5_326a628fac56.csv.config.json,
1,bernoulli,2,0.0155,10,0.5,train_items_only_refit_v1,train_items_only,1056,none,,32.0,8304,1056,117,8304,1223,0.3933382598755658,0.6910683068693558,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0.038246285170316696, 0.03893041983246803, 0.0384543277323246, 0.0364498570561409, 0.0361904576420784, 0.03731366619467735, 0.037710439413785934, 0.0359283983707428, 0.03732443228363991, 0.03836663067340851]",pca,35,raw,full,transfer,false,local,1000,1.0,default_response_matrix_araf,10,"5,10,20,50",false,false,"0,1,2",1.0,model/result/default_araf_flat/araf/araf_pca_bernoulli_pre-false_n-1_k-10_d-0p5_326a628fac56.csv,model/result/default_araf_flat/araf/araf_pca_bernoulli_pre-false_n-1_k-10_d-0p5_326a628fac56.csv.config.json,
