seed,model_type,n_samples,pre_revision,j_percentage,baseline_embedding_type,agent_batch_size,auc_naive,rmse_naive
0,beta,1,max,1.0,raw,max,0.5,0.4572378001569557
36,beta,1,max,1.0,raw,max,0.5,0.4717099197839947
15,beta,1,max,1.0,raw,max,0.5,0.4513318987677542
6,beta,1,max,1.0,raw,max,0.5,0.4517600449087594
18,beta,1,max,1.0,raw,max,0.5,0.4482727372806196
10,beta,1,max,1.0,raw,max,0.5,0.4477601628090005
38,beta,1,max,1.0,raw,max,0.5,0.4402320739902588
31,beta,1,max,1.0,raw,max,0.5,0.4403401048994132
34,beta,1,max,1.0,raw,max,0.5,0.4518950310431585
47,beta,1,max,1.0,raw,max,0.5,0.4364484342789313
19,beta,1,max,1.0,raw,max,0.5,0.4403658903145038
43,beta,1,max,1.0,raw,max,0.5,0.4498900497740746
39,beta,1,max,1.0,raw,max,0.5,0.4381542593019265
42,beta,1,max,1.0,raw,max,0.5,0.4527555636828192
27,beta,1,max,1.0,raw,max,0.5,0.4655966711707343
30,beta,1,max,1.0,raw,max,0.5,0.463276891060662
3,beta,1,max,1.0,raw,max,0.5,0.4486064718814924
46,beta,1,max,1.0,raw,max,0.5,0.4487800778268148
2,beta,1,max,1.0,raw,max,0.5,0.438973449011654
22,beta,1,max,1.0,raw,max,0.5,0.4495771222514872
35,beta,1,max,1.0,raw,max,0.5,0.4464443779599399
11,beta,1,max,1.0,raw,max,0.5,0.4580384591917193
7,beta,1,max,1.0,raw,max,0.5,0.4423069836298263
14,beta,1,max,1.0,raw,max,0.5,0.4440460936530961
26,beta,1,max,1.0,raw,max,0.5,0.4525013117217973
23,beta,1,max,1.0,raw,max,0.5,0.4402903401935535
16,beta,1,max,1.0,raw,max,0.5,0.4430128751707158
4,beta,1,max,1.0,raw,max,0.5,0.4580997301603021
1,beta,1,max,1.0,raw,max,0.5,0.4519371379375524
20,beta,1,max,1.0,raw,max,0.5,0.4322780545707478
44,beta,1,max,1.0,raw,max,0.5,0.4459831474802383
24,beta,1,max,1.0,raw,max,0.5,0.4429260522626114
32,beta,1,max,1.0,raw,max,0.5,0.4552496721831078
13,beta,1,max,1.0,raw,max,0.5,0.4603509241811011
28,beta,1,max,1.0,raw,max,0.5,0.4572328954076388
12,beta,1,max,1.0,raw,max,0.5,0.4381774867911525
40,beta,1,max,1.0,raw,max,0.5,0.4409348325155288
48,beta,1,max,1.0,raw,max,0.5,0.4584005172935866
8,beta,1,max,1.0,raw,max,0.5,0.4463620950387162
33,beta,1,max,1.0,raw,max,0.5,0.4459414975549189
49,beta,1,max,1.0,raw,max,0.5,0.4622212974978992
9,beta,1,max,1.0,raw,max,0.5,0.4453253995131318
21,beta,1,max,1.0,raw,max,0.5,0.4448364792106665
5,beta,1,max,1.0,raw,max,0.5,0.4340731058822986
29,beta,1,max,1.0,raw,max,0.5,0.4475051205358094
41,beta,1,max,1.0,raw,max,0.5,0.4520785811243336
25,beta,1,max,1.0,raw,max,0.5,0.4438520206786588
17,beta,1,max,1.0,raw,max,0.5,0.4645830272736275
45,beta,1,max,1.0,raw,max,0.5,0.4385756994378308
37,beta,1,max,1.0,raw,max,0.5,0.45366963179217507
