seed,model_type,n_samples,pre_revision,j_percentage,baseline_embedding_type,agent_batch_size,auc_naive,rmse_naive
0,bernoulli,32,none,1.0,raw,32,0.5,0.2875864256655999
1,bernoulli,32,none,1.0,raw,32,0.5,0.28484222679547
10,bernoulli,32,none,1.0,raw,32,0.5,0.273926855618959
11,bernoulli,32,none,1.0,raw,32,0.5,0.2627330313338246
12,bernoulli,32,none,1.0,raw,32,0.5,0.2609551806370352
13,bernoulli,32,none,1.0,raw,32,0.5,0.2634798551654866
14,bernoulli,32,none,1.0,raw,32,0.5,0.2684145475085017
15,bernoulli,32,none,1.0,raw,32,0.5,0.2731930730168782
16,bernoulli,32,none,1.0,raw,32,0.5,0.2803268248853902
17,bernoulli,32,none,1.0,raw,32,0.5,0.2661201966113367
18,bernoulli,32,none,1.0,raw,32,0.5,0.2551427224866322
19,bernoulli,32,none,1.0,raw,32,0.5,0.2626937242197571
2,bernoulli,32,none,1.0,raw,32,0.5,0.2492466094849145
20,bernoulli,32,none,1.0,raw,32,0.5,0.264980009917467
21,bernoulli,32,none,1.0,raw,32,0.5,0.2568764310179712
22,bernoulli,32,none,1.0,raw,32,0.5,0.2880479949275511
23,bernoulli,32,none,1.0,raw,32,0.5,0.28161810257123
24,bernoulli,32,none,1.0,raw,32,0.5,0.3033161111455952
25,bernoulli,32,none,1.0,raw,32,0.5,0.2914311559429621
26,bernoulli,32,none,1.0,raw,32,0.5,0.2763927434421387
27,bernoulli,32,none,1.0,raw,32,0.5,0.265114096559869
28,bernoulli,32,none,1.0,raw,32,0.5,0.3026778506761916
29,bernoulli,32,none,1.0,raw,32,0.5,0.283207492136991
3,bernoulli,32,none,1.0,raw,32,0.5,0.2638591666312001
30,bernoulli,32,none,1.0,raw,32,0.5,0.2577332750605122
31,bernoulli,32,none,1.0,raw,32,0.5,0.2501611786070307
32,bernoulli,32,none,1.0,raw,32,0.5,0.255298129976516
33,bernoulli,32,none,1.0,raw,32,0.5,0.2926783966670566
34,bernoulli,32,none,1.0,raw,32,0.5,0.2557678495752329
35,bernoulli,32,none,1.0,raw,32,0.5,0.2690456687944072
36,bernoulli,32,none,1.0,raw,32,0.5,0.2681323389013761
37,bernoulli,32,none,1.0,raw,32,0.5,0.2749079539402421
38,bernoulli,32,none,1.0,raw,32,0.5,0.2792324045105451
39,bernoulli,32,none,1.0,raw,32,0.5,0.2863824295860166
4,bernoulli,32,none,1.0,raw,32,0.5,0.2647940034760719
40,bernoulli,32,none,1.0,raw,32,0.5,0.2693099481714494
41,bernoulli,32,none,1.0,raw,32,0.5,0.2479758498864618
42,bernoulli,32,none,1.0,raw,32,0.5,0.2595258050309507
43,bernoulli,32,none,1.0,raw,32,0.5,0.2871830255410987
44,bernoulli,32,none,1.0,raw,32,0.5,0.2417898528353519
45,bernoulli,32,none,1.0,raw,32,0.5,0.2853031825020147
46,bernoulli,32,none,1.0,raw,32,0.5,0.264276433092713
47,bernoulli,32,none,1.0,raw,32,0.5,0.2412235627364518
48,bernoulli,32,none,1.0,raw,32,0.5,0.2493723276540075
49,bernoulli,32,none,1.0,raw,32,0.5,0.2596527801008197
5,bernoulli,32,none,1.0,raw,32,0.5,0.2667100287488191
6,bernoulli,32,none,1.0,raw,32,0.5,0.2850006279812971
7,bernoulli,32,none,1.0,raw,32,0.5,0.2597505665480132
8,bernoulli,32,none,1.0,raw,32,0.5,0.2708308773051676
9,bernoulli,32,none,1.0,raw,32,0.5,0.2641091993898125
