seed,model_type,n_samples,pre_revision,j_percentage,baseline_embedding_type,agent_batch_size,auc_2pl,rmse_2pl
0,beta,54,none,1.0,raw,54,0.5169148032425739,0.3744869497531159
1,beta,54,none,1.0,raw,54,0.4760351051029797,0.3858779089014497
10,beta,54,none,1.0,raw,54,0.5472147950089127,0.3651314248626875
11,beta,54,none,1.0,raw,54,0.5520761118076554,0.346472686432801
12,beta,54,none,1.0,raw,54,0.5425039745627981,0.3396254748347069
13,beta,54,none,1.0,raw,54,0.578987285915221,0.3502653244506674
14,beta,54,none,1.0,raw,54,0.5011424793056405,0.3448599214309691
15,beta,54,none,1.0,raw,54,0.5259550052846141,0.3572354273376595
16,beta,54,none,1.0,raw,54,0.5082479224376731,0.3696084060930394
17,beta,54,none,1.0,raw,54,0.5926207318782317,0.3425086539282021
18,beta,54,none,1.0,raw,54,0.5701384806323078,0.3384742987678669
19,beta,54,none,1.0,raw,54,0.6081257497706585,0.3399563197344233
2,beta,54,none,1.0,raw,54,0.6079185663627154,0.3328455420554984
20,beta,54,none,1.0,raw,54,0.5566127937819999,0.2868730519629598
21,beta,54,none,1.0,raw,54,0.5872191652242803,0.3073636902709885
22,beta,54,none,1.0,raw,54,0.5244910042657408,0.3733963053818325
23,beta,54,none,1.0,raw,54,0.6084344259944363,0.3356314529210623
24,beta,54,none,1.0,raw,54,0.5498983739837399,0.405555314542243
25,beta,54,none,1.0,raw,54,0.5845436686311724,0.3763679547938002
26,beta,54,none,1.0,raw,54,0.4219401339321733,0.3731637941253888
27,beta,54,none,1.0,raw,54,0.5142922903302447,0.352900312053016
28,beta,54,none,1.0,raw,54,0.5735851432168713,0.3292081869573492
29,beta,54,none,1.0,raw,54,0.4988845759157632,0.374141246279768
3,beta,54,none,1.0,raw,54,0.4506316914875995,0.35196218023813
30,beta,54,none,1.0,raw,54,0.5464904247473479,0.3558986286241949
31,beta,54,none,1.0,raw,54,0.5021944083224967,0.3152916431995812
32,beta,54,none,1.0,raw,54,0.5997265008892916,0.3251154919054979
33,beta,54,none,1.0,raw,54,0.4740159635776856,0.3807644652438555
34,beta,54,none,1.0,raw,54,0.5767585510668514,0.3376934821463689
35,beta,54,none,1.0,raw,54,0.5118743852019496,0.3679096547031361
36,beta,54,none,1.0,raw,54,0.5571514856881896,0.3531145381221702
37,beta,54,none,1.0,raw,54,0.6309217032272967,0.3633311452748679
38,beta,54,none,1.0,raw,54,0.5241316586616156,0.3652220331238496
39,beta,54,none,1.0,raw,54,0.5635679541013595,0.3630544508259946
4,beta,54,none,1.0,raw,54,0.6546201615539059,0.3445697568277675
40,beta,54,none,1.0,raw,54,0.4554006544138123,0.3103128787227597
41,beta,54,none,1.0,raw,54,0.5628164807342353,0.3135956630068725
42,beta,54,none,1.0,raw,54,0.5367769744160178,0.3410798207932495
43,beta,54,none,1.0,raw,54,0.5194908829749032,0.3590037459998886
44,beta,54,none,1.0,raw,54,0.5312365937365938,0.306193201481128
45,beta,54,none,1.0,raw,54,0.6146587667324994,0.3641866251337775
46,beta,54,none,1.0,raw,54,0.5109962121212122,0.3383347673788983
47,beta,54,none,1.0,raw,54,0.4305732484076433,0.3212559459744583
48,beta,54,none,1.0,raw,54,0.5028157422648,0.3376570318619883
49,beta,54,none,1.0,raw,54,0.5633863636363636,0.3464663964287343
5,beta,54,none,1.0,raw,54,0.5733639292175985,0.3482938128088578
6,beta,54,none,1.0,raw,54,0.5818337279663246,0.3618543761969813
7,beta,54,none,1.0,raw,54,0.495067679734389,0.3403947900951096
8,beta,54,none,1.0,raw,54,0.534104596350875,0.3616880119561368
9,beta,54,none,1.0,raw,54,0.5763260135135135,0.3456856243639243
