seed,model_type,n_samples,pre_revision,j_percentage,baseline_embedding_type,agent_batch_size,auc_naive,rmse_naive
42,beta,1,max,1.0,raw,max,0.5,0.4527555636828192
0,beta,1,max,1.0,raw,max,0.5,0.4572378001569557
1,beta,1,max,1.0,raw,max,0.5,0.4519371379375524
13,beta,1,max,1.0,raw,max,0.5,0.4603509241811011
46,beta,1,max,1.0,raw,max,0.5,0.4487800778268148
36,beta,1,max,1.0,raw,max,0.5,0.4717099197839947
18,beta,1,max,1.0,raw,max,0.5,0.4482727372806196
9,beta,1,max,1.0,raw,max,0.5,0.4453253995131318
25,beta,1,max,1.0,raw,max,0.5,0.4438520206786588
15,beta,1,max,1.0,raw,max,0.5,0.4513318987677542
21,beta,1,max,1.0,raw,max,0.5,0.4448364792106665
5,beta,1,max,1.0,raw,max,0.5,0.4340731058822986
33,beta,1,max,1.0,raw,max,0.5,0.4459414975549189
47,beta,1,max,1.0,raw,max,0.5,0.4364484342789313
29,beta,1,max,1.0,raw,max,0.5,0.4475051205358094
37,beta,1,max,1.0,raw,max,0.5,0.453669631792175
6,beta,1,max,1.0,raw,max,0.5,0.4517600449087594
39,beta,1,max,1.0,raw,max,0.5,0.4381542593019265
19,beta,1,max,1.0,raw,max,0.5,0.4403658903145038
34,beta,1,max,1.0,raw,max,0.5,0.4518950310431585
10,beta,1,max,1.0,raw,max,0.5,0.4477601628090005
41,beta,1,max,1.0,raw,max,0.5,0.4520785811243336
17,beta,1,max,1.0,raw,max,0.5,0.4645830272736275
31,beta,1,max,1.0,raw,max,0.5,0.4403401048994132
35,beta,1,max,1.0,raw,max,0.5,0.4464443779599399
3,beta,1,max,1.0,raw,max,0.5,0.4486064718814924
23,beta,1,max,1.0,raw,max,0.5,0.4402903401935535
2,beta,1,max,1.0,raw,max,0.5,0.438973449011654
38,beta,1,max,1.0,raw,max,0.5,0.4402320739902588
30,beta,1,max,1.0,raw,max,0.5,0.463276891060662
48,beta,1,max,1.0,raw,max,0.5,0.4584005172935866
43,beta,1,max,1.0,raw,max,0.5,0.4498900497740746
44,beta,1,max,1.0,raw,max,0.5,0.4459831474802383
26,beta,1,max,1.0,raw,max,0.5,0.4525013117217973
7,beta,1,max,1.0,raw,max,0.5,0.4423069836298263
27,beta,1,max,1.0,raw,max,0.5,0.4655966711707343
22,beta,1,max,1.0,raw,max,0.5,0.4495771222514872
11,beta,1,max,1.0,raw,max,0.5,0.4580384591917193
14,beta,1,max,1.0,raw,max,0.5,0.4440460936530961
4,beta,1,max,1.0,raw,max,0.5,0.4580997301603021
49,beta,1,max,1.0,raw,max,0.5,0.4622212974978992
28,beta,1,max,1.0,raw,max,0.5,0.4572328954076388
24,beta,1,max,1.0,raw,max,0.5,0.4429260522626114
20,beta,1,max,1.0,raw,max,0.5,0.4322780545707478
32,beta,1,max,1.0,raw,max,0.5,0.4552496721831078
45,beta,1,max,1.0,raw,max,0.5,0.4385756994378308
40,beta,1,max,1.0,raw,max,0.5,0.4409348325155288
12,beta,1,max,1.0,raw,max,0.5,0.4381774867911525
16,beta,1,max,1.0,raw,max,0.5,0.4430128751707158
8,beta,1,max,1.0,raw,max,0.5,0.44636209503871627
