seed,model_type,n_samples,pre_revision,j_percentage,baseline_embedding_type,agent_batch_size,auc_naive,rmse_naive
42,beta,1,16,0.5,raw,16,0.5,0.4298382754654974
0,beta,1,16,0.5,raw,16,0.5,0.4631394470010421
5,beta,1,16,0.5,raw,16,0.5,0.4498969887343763
1,beta,1,16,0.5,raw,16,0.5,0.4458496133856334
37,beta,1,16,0.5,raw,16,0.5,0.4371242442256774
17,beta,1,16,0.5,raw,16,0.5,0.4560957406168169
29,beta,1,16,0.5,raw,16,0.5,0.4626961311535982
25,beta,1,16,0.5,raw,16,0.5,0.4410984350125249
41,beta,1,16,0.5,raw,16,0.5,0.4453174691173978
13,beta,1,16,0.5,raw,16,0.5,0.4217273135762708
33,beta,1,16,0.5,raw,16,0.5,0.4454296025014581
46,beta,1,16,0.5,raw,16,0.5,0.4380612009643939
9,beta,1,16,0.5,raw,16,0.5,0.4432699138440999
21,beta,1,16,0.5,raw,16,0.5,0.4601185846376343
11,beta,1,16,0.5,raw,16,0.5,0.4601462248145666
31,beta,1,16,0.5,raw,16,0.5,0.4615159365463768
2,beta,1,16,0.5,raw,16,0.5,0.4568368710316305
35,beta,1,16,0.5,raw,16,0.5,0.4528237689862314
15,beta,1,16,0.5,raw,16,0.5,0.450987856770174
43,beta,1,16,0.5,raw,16,0.5,0.4476849618328805
22,beta,1,16,0.5,raw,16,0.5,0.481284356439068
18,beta,1,16,0.5,raw,16,0.5,0.4642177020420301
47,beta,1,16,0.5,raw,16,0.5,0.4521161720842043
30,beta,1,16,0.5,raw,16,0.5,0.446542046294081
38,beta,1,16,0.5,raw,16,0.5,0.4465410618744874
48,beta,1,16,0.5,raw,16,0.5,0.4525544257390027
26,beta,1,16,0.5,raw,16,0.5,0.4647003401397747
39,beta,1,16,0.5,raw,16,0.5,0.4705458888905399
23,beta,1,16,0.5,raw,16,0.5,0.4460217867125118
27,beta,1,16,0.5,raw,16,0.5,0.4436299510882676
14,beta,1,16,0.5,raw,16,0.5,0.4449266803538891
10,beta,1,16,0.5,raw,16,0.5,0.4404948962334863
6,beta,1,16,0.5,raw,16,0.5,0.462104999847209
44,beta,1,16,0.5,raw,16,0.5,0.4583414160131364
7,beta,1,16,0.5,raw,16,0.5,0.4497687580104878
19,beta,1,16,0.5,raw,16,0.5,0.4543072470533031
34,beta,1,16,0.5,raw,16,0.5,0.448227842679005
3,beta,1,16,0.5,raw,16,0.5,0.4539564659718654
4,beta,1,16,0.5,raw,16,0.5,0.452772233382345
49,beta,1,16,0.5,raw,16,0.5,0.4599731508484153
8,beta,1,16,0.5,raw,16,0.5,0.4543290091619236
45,beta,1,16,0.5,raw,16,0.5,0.4460643812088852
24,beta,1,16,0.5,raw,16,0.5,0.4584949562456769
20,beta,1,16,0.5,raw,16,0.5,0.4546280300929883
16,beta,1,16,0.5,raw,16,0.5,0.4371490262807931
40,beta,1,16,0.5,raw,16,0.5,0.453190042497276
32,beta,1,16,0.5,raw,16,0.5,0.4662797209903356
12,beta,1,16,0.5,raw,16,0.5,0.4701597948026282
36,beta,1,16,0.5,raw,16,0.5,0.4499023212278015
28,beta,1,16,0.5,raw,16,0.5,0.44816169764080077
