seed,model_type,n_samples,pre_revision,j_percentage,baseline_embedding_type,agent_batch_size,auc_naive,rmse_naive
0,bernoulli,1,32,0.1,raw,32,0.5,0.4449146065859279
27,bernoulli,1,32,0.1,raw,32,0.5,0.4516595623940352
23,bernoulli,1,32,0.1,raw,32,0.5,0.4443335564518106
43,bernoulli,1,32,0.1,raw,32,0.5,0.4256945005464888
35,bernoulli,1,32,0.1,raw,32,0.5,0.4562476360573341
47,bernoulli,1,32,0.1,raw,32,0.5,0.4654375178886605
39,bernoulli,1,32,0.1,raw,32,0.5,0.4849479271030381
14,bernoulli,1,32,0.1,raw,32,0.5,0.4609643314116958
46,bernoulli,1,32,0.1,raw,32,0.5,0.4759140919109349
30,bernoulli,1,32,0.1,raw,32,0.5,0.4494543370018857
42,bernoulli,1,32,0.1,raw,32,0.5,0.4542512708424672
38,bernoulli,1,32,0.1,raw,32,0.5,0.4241408499609785
34,bernoulli,1,32,0.1,raw,32,0.5,0.4583834021125663
19,bernoulli,1,32,0.1,raw,32,0.5,0.4632672415508312
18,bernoulli,1,32,0.1,raw,32,0.5,0.4536181430124957
3,bernoulli,1,32,0.1,raw,32,0.5,0.4619751903903267
31,bernoulli,1,32,0.1,raw,32,0.5,0.4528027078900564
11,bernoulli,1,32,0.1,raw,32,0.5,0.4557304781940298
7,bernoulli,1,32,0.1,raw,32,0.5,0.4731647184019881
15,bernoulli,1,32,0.1,raw,32,0.5,0.4426110291601776
26,bernoulli,1,32,0.1,raw,32,0.5,0.4729267481290891
6,bernoulli,1,32,0.1,raw,32,0.5,0.4390372788322618
2,bernoulli,1,32,0.1,raw,32,0.5,0.4163299948775065
10,bernoulli,1,32,0.1,raw,32,0.5,0.4408276234072493
22,bernoulli,1,32,0.1,raw,32,0.5,0.4860445291091776
24,bernoulli,1,32,0.1,raw,32,0.5,0.4615718549788914
36,bernoulli,1,32,0.1,raw,32,0.5,0.4730979652441257
28,bernoulli,1,32,0.1,raw,32,0.5,0.4471578343199596
1,bernoulli,1,32,0.1,raw,32,0.5,0.3961228098545457
44,bernoulli,1,32,0.1,raw,32,0.5,0.4921077330604749
48,bernoulli,1,32,0.1,raw,32,0.5,0.4936591958193934
12,bernoulli,1,32,0.1,raw,32,0.5,0.4739587350641022
8,bernoulli,1,32,0.1,raw,32,0.5,0.4185182399785557
4,bernoulli,1,32,0.1,raw,32,0.5,0.4808820172207658
32,bernoulli,1,32,0.1,raw,32,0.5,0.4545635703389084
40,bernoulli,1,32,0.1,raw,32,0.5,0.4605247783455963
20,bernoulli,1,32,0.1,raw,32,0.5,0.4629932724338281
16,bernoulli,1,32,0.1,raw,32,0.5,0.4825673984238952
21,bernoulli,1,32,0.1,raw,32,0.5,0.4635627631055155
17,bernoulli,1,32,0.1,raw,32,0.5,0.4615812171028488
49,bernoulli,1,32,0.1,raw,32,0.5,0.4389909645260814
37,bernoulli,1,32,0.1,raw,32,0.5,0.4777431870877507
45,bernoulli,1,32,0.1,raw,32,0.5,0.4500377486873389
41,bernoulli,1,32,0.1,raw,32,0.5,0.4683192499199462
29,bernoulli,1,32,0.1,raw,32,0.5,0.4576344706991455
9,bernoulli,1,32,0.1,raw,32,0.5,0.4775583774272386
5,bernoulli,1,32,0.1,raw,32,0.5,0.4664634886719839
33,bernoulli,1,32,0.1,raw,32,0.5,0.4403472620262458
13,bernoulli,1,32,0.1,raw,32,0.5,0.4568547291048632
25,bernoulli,1,32,0.1,raw,32,0.5,0.4366371467521413
