seed,model_type,n_samples,pre_revision,j_percentage,baseline_embedding_type,agent_batch_size,auc_rasch,rmse_rasch
42,beta,1,4,0.1,raw,4,0.1904761904761904,0.52295639930732
0,beta,1,4,0.1,raw,4,0.375,0.5852287583698429
43,beta,1,4,0.1,raw,4,0.5416666666666667,0.5185972724282314
9,beta,1,4,0.1,raw,4,0.8,0.6716195885209335
35,beta,1,4,0.1,raw,4,0.761904761904762,0.6361092768933737
7,beta,1,4,0.1,raw,4,0.4800000000000001,0.6981266379614648
2,beta,1,4,0.1,raw,4,0.8125,0.4358093770751051
21,beta,1,4,0.1,raw,4,0.4166666666666667,0.5895487066374276
18,beta,1,4,0.1,raw,4,0.75,0.609212878253482
29,beta,1,4,0.1,raw,4,0.25,0.4530905842043302
46,beta,1,4,0.1,raw,4,0.6666666666666666,0.7121113319391009
1,beta,1,4,0.1,raw,4,0.8571428571428572,0.5001183310199713
33,beta,1,4,0.1,raw,4,0.1666666666666666,0.4611432699191556
13,beta,1,4,0.1,raw,4,0.4166666666666667,0.6282550686587375
10,beta,1,4,0.1,raw,4,0.6,0.637372880304092
17,beta,1,4,0.1,raw,4,0.5,0.732568182001599
25,beta,1,4,0.1,raw,4,0.4166666666666666,0.6100675608789755
5,beta,1,4,0.1,raw,4,0.4761904761904761,0.5496727359907797
41,beta,1,4,0.1,raw,4,0.64,0.5355086175900144
19,beta,1,4,0.1,raw,4,0.875,0.4091129294041695
15,beta,1,4,0.1,raw,4,0.2222222222222222,0.2849413440810699
32,beta,1,4,0.1,raw,4,0.5714285714285714,0.6826799442984061
14,beta,1,4,0.1,raw,4,0.5833333333333333,0.7529371684255667
39,beta,1,4,0.1,raw,4,0.380952380952381,0.3867678948203534
26,beta,1,4,0.1,raw,4,0.4,0.6688600137721645
37,beta,1,4,0.1,raw,4,0.6666666666666666,0.5885046353688314
34,beta,1,4,0.1,raw,4,0.5,0.4441692333016066
38,beta,1,4,0.1,raw,4,0.5555555555555556,0.3656038465656978
8,beta,1,4,0.1,raw,4,0.4444444444444444,0.5513039401645832
30,beta,1,4,0.1,raw,4,0.5714285714285714,0.5404304617437476
44,beta,1,4,0.1,raw,4,0.3333333333333333,0.5480936912720593
22,beta,1,4,0.1,raw,4,0.4166666666666666,0.5569245534528009
31,beta,1,4,0.1,raw,4,0.5625,0.4592771691969471
16,beta,1,4,0.1,raw,4,0.7916666666666667,0.5951143450617475
47,beta,1,4,0.1,raw,4,0.4285714285714286,0.4877587841988975
11,beta,1,4,0.1,raw,4,0.5416666666666666,0.516838293513476
6,beta,1,4,0.1,raw,4,0.5833333333333333,0.4313031944693914
20,beta,1,4,0.1,raw,4,0.5416666666666667,0.6868424739200105
12,beta,1,4,0.1,raw,4,0.3333333333333333,0.5865318589903207
48,beta,1,4,0.1,raw,4,0.0,0.5294607549249584
45,beta,1,4,0.1,raw,4,0.5,0.1581114161729364
27,beta,1,4,0.1,raw,4,0.44,0.6947989549688277
23,beta,1,4,0.1,raw,4,0.1111111111111111,0.3395253586378676
3,beta,1,4,0.1,raw,4,0.375,0.4512877212355236
36,beta,1,4,0.1,raw,4,0.0416666666666666,0.594399924693289
24,beta,1,4,0.1,raw,4,0.6666666666666666,0.7224337673518203
28,beta,1,4,0.1,raw,4,0.6400000000000001,0.6568312568509121
40,beta,1,4,0.1,raw,4,0.625,0.4575111119687504
49,beta,1,4,0.1,raw,4,0.2222222222222222,0.5114402304227654
4,beta,1,4,0.1,raw,4,0.6875,0.3713214376542856
