seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,agent_batch_size,effective_pre_weight_sum,selected_knn_k,auc_naive,rmse_naive
1,bernoulli,54,none,1.0,1.0,raw,none,,54,29.0,50,0.5,0.4358058894848802
2,bernoulli,54,none,1.0,1.0,raw,none,,54,30.0,50,0.5,0.3885685960813925
6,bernoulli,54,none,1.0,1.0,raw,none,,54,29.0,20,0.5,0.4265706505188906
3,bernoulli,54,none,1.0,1.0,raw,none,,54,29.0,50,0.5,0.4157434925595421
11,bernoulli,54,none,1.0,1.0,raw,none,,54,29.0,50,0.5,0.4105595558596358
0,bernoulli,54,none,1.0,1.0,raw,none,,54,29.0,50,0.5,0.4312634611102079
4,bernoulli,54,none,1.0,1.0,raw,none,,54,29.0,50,0.5,0.4178098572652432
8,bernoulli,54,none,1.0,1.0,raw,none,,54,29.0,50,0.5,0.4120846781629958
12,bernoulli,54,none,1.0,1.0,raw,none,,54,29.0,50,0.5,0.4186507570037777
39,bernoulli,54,none,1.0,1.0,raw,none,,54,29.0,50,0.5,0.4190827968839493
14,bernoulli,54,none,1.0,1.0,raw,none,,54,29.0,50,0.5,0.3959728944429236
7,bernoulli,54,none,1.0,1.0,raw,none,,54,29.0,50,0.5,0.3963751994938199
19,bernoulli,54,none,1.0,1.0,raw,none,,54,29.0,50,0.5,0.3895664176566442
31,bernoulli,54,none,1.0,1.0,raw,none,,54,29.0,50,0.5,0.395433659136493
18,bernoulli,54,none,1.0,1.0,raw,none,,54,29.0,50,0.5,0.4074498943229011
42,bernoulli,54,none,1.0,1.0,raw,none,,54,29.0,50,0.5,0.4107846124336586
15,bernoulli,54,none,1.0,1.0,raw,none,,54,31.0,50,0.5,0.4013484384283242
46,bernoulli,54,none,1.0,1.0,raw,none,,54,29.0,50,0.5,0.4166291061002168
38,bernoulli,54,none,1.0,1.0,raw,none,,54,30.0,50,0.5,0.4077156295311945
30,bernoulli,54,none,1.0,1.0,raw,none,,54,29.0,50,0.5,0.3991421097798562
10,bernoulli,54,none,1.0,1.0,raw,none,,54,29.0,20,0.5,0.4131739096610016
35,bernoulli,54,none,1.0,1.0,raw,none,,54,30.0,20,0.5,0.4031643138611576
34,bernoulli,54,none,1.0,1.0,raw,none,,54,30.0,50,0.5,0.4121828059000764
26,bernoulli,54,none,1.0,1.0,raw,none,,54,29.0,50,0.5,0.4356237266718946
47,bernoulli,54,none,1.0,1.0,raw,none,,54,29.0,50,0.5,0.3987259475186337
23,bernoulli,54,none,1.0,1.0,raw,none,,54,30.0,50,0.5,0.4179946855715986
27,bernoulli,54,none,1.0,1.0,raw,none,,54,29.0,50,0.5,0.4144247737467156
43,bernoulli,54,none,1.0,1.0,raw,none,,54,31.0,50,0.5,0.4182035374973428
22,bernoulli,54,none,1.0,1.0,raw,none,,54,29.0,50,0.5,0.431543088914242
5,bernoulli,54,none,1.0,1.0,raw,none,,54,29.0,50,0.5,0.4195753220011479
16,bernoulli,54,none,1.0,1.0,raw,none,,54,29.0,5,0.5,0.4201407106305745
44,bernoulli,54,none,1.0,1.0,raw,none,,54,29.0,20,0.5,0.3925439620454844
36,bernoulli,54,none,1.0,1.0,raw,none,,54,29.0,20,0.5,0.4295678058720067
20,bernoulli,54,none,1.0,1.0,raw,none,,54,30.0,50,0.5,0.3903467713360408
24,bernoulli,54,none,1.0,1.0,raw,none,,54,29.0,10,0.5,0.4499254721278991
32,bernoulli,54,none,1.0,1.0,raw,none,,54,29.0,50,0.5,0.3911864822979055
40,bernoulli,54,none,1.0,1.0,raw,none,,54,29.0,50,0.5,0.4032565013292831
48,bernoulli,54,none,1.0,1.0,raw,none,,54,29.0,50,0.5,0.3940075334879223
28,bernoulli,54,none,1.0,1.0,raw,none,,54,29.0,20,0.5,0.4412343694874051
37,bernoulli,54,none,1.0,1.0,raw,none,,54,30.0,50,0.5,0.4162153382518438
49,bernoulli,54,none,1.0,1.0,raw,none,,54,29.0,50,0.5,0.4162274569057465
21,bernoulli,54,none,1.0,1.0,raw,none,,54,29.0,50,0.5,0.3924863148083267
45,bernoulli,54,none,1.0,1.0,raw,none,,54,29.0,50,0.5,0.4320647111182497
17,bernoulli,54,none,1.0,1.0,raw,none,,54,29.0,20,0.5,0.4036425210960425
29,bernoulli,54,none,1.0,1.0,raw,none,,54,29.0,50,0.5,0.4084530115720967
25,bernoulli,54,none,1.0,1.0,raw,none,,54,31.0,10,0.5,0.4211791976266669
33,bernoulli,54,none,1.0,1.0,raw,none,,54,29.0,20,0.5,0.421020100793285
41,bernoulli,54,none,1.0,1.0,raw,none,,54,30.0,50,0.5,0.3792582184788115
13,bernoulli,54,none,1.0,1.0,raw,none,,54,29.0,50,0.5,0.4362140045235828
9,bernoulli,54,none,1.0,1.0,raw,none,,54,30.0,50,0.5,0.4100693020168527
